UncompMagX;UncompMagY;UncompMagZ;UncompAccX;UncompAccY;UncompAccZ;UncompGyroX;UncompGyroY;UncompGyroZ;Temperature;Pressure
-00,158;+00,132;-00,195;-15,0970;-12,3560;+00,1970;-00,856010;-05,552774;-00,179909;+031,90;+101,16
-00,162;+00,130;-00,178;-16,0380;-02,7390;-11,7820;-00,597929;-04,331251;-00,832589;+031,90;+101,17
-00,168;+00,133;-00,176;-12,3230;+07,9930;-30,4020;-00,388039;-03,374759;-00,836239;+031,90;+101,17
-00,171;+00,127;-00,169;-09,0720;+16,5610;-20,6670;-00,227269;-02,603777;-00,057737;+031,90;+101,17
-00,172;+00,130;-00,166;-02,8890;+14,6760;-11,5120;+00,175538;-02,339235;+00,526249;+031,90;+101,17
-00,173;+00,129;-00,158;-01,6320;+05,5640;-10,2160;+00,741085;-02,397742;+00,705781;+031,90;+101,17
-00,173;+00,133;-00,157;-03,7940;-07,0940;-09,1910;+00,980581;-02,422456;+00,536999;+031,90;+101,17
-00,174;+00,131;-00,153;-07,6420;-15,4990;-13,1370;+00,760528;-02,380334;+00,018946;+031,90;+101,17
-00,176;+00,134;-00,152;-10,3910;-11,2800;-15,6980;+00,329154;-02,004500;-00,248238;+031,90;+101,17
-00,178;+00,130;-00,145;-06,2160;-01,2080;-13,6290;-00,039542;-01,626033;-00,172908;+031,90;+101,16
-00,177;+00,132;-00,144;-06,5330;+03,0450;-14,1500;-00,345774;-01,356579;+00,166297;+031,90;+101,17
-00,178;+00,130;-00,136;-05,0300;-03,9150;-12,3810;-00,499785;-01,097159;+00,122828;+031,90;+101,19
-00,179;+00,131;-00,137;-07,6220;-04,8470;-12,1340;-00,866881;-00,791214;+00,125643;+031,90;+101,17
-00,178;+00,131;-00,133;-03,9530;+02,6820;-10,7240;-00,996219;-00,611960;+00,172655;+031,90;+101,17
-00,180;+00,132;-00,135;-03,5120;+02,5530;-10,2960;-00,856004;-00,397209;+00,190199;+031,90;+101,17
-00,178;+00,134;-00,128;-04,0130;-02,2010;-09,2280;-00,902724;-00,344306;+00,172437;+031,90;+101,16
-00,180;+00,136;-00,128;-03,7080;-00,3830;-09,8250;-00,992991;-00,302902;+00,205913;+031,90;+101,17
-00,178;+00,136;-00,125;-04,0740;+02,5550;-10,9850;-00,829547;-00,225375;+00,178167;+031,90;+101,17
-00,178;+00,136;-00,126;-03,7330;+01,2700;-10,3630;-00,638243;-00,170981;+00,110806;+031,90;+101,17
